rootfs / rootfs ro,seclabel 0 0
/dev/block/dm-0 /system/lib/android.hardware.graphics.common@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.graphics.composer@2.1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.graphics.mapper@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.ir@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.keymaster@3.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.light@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.media.omx@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.media@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.memtrack@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.neuralnetworks@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.power@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.power@1.1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.radio.deprecated@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.radio@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.radio@1.1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.renderscript@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.sensors@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.soundtrigger@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.tetheroffload.config@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.thermal@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.tv.cec@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.tv.input@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.vibrator@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.vibrator@1.1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.vr@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hidl.allocator@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hidl.memory@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hidl.token@1.0-utils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hidl.token@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/egl/libGLES_android.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/hw/android.hidl.memory@1.0-impl.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/hw/audio.a2dp.default.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/hw/bluetooth.default.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/hw/keystore.default.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/ld-android.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libBDRC4_V1_1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libEGL.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libETC1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libEngineBuilder.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libFFTEm.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libFonts.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libGLESv1_CM.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libGLESv2.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libGLESv3.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libKSOStatEncryption.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libMiraVision_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libOoxmlDecrypt.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libOpenMAXAL.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libOpenSLES.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libRS.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libRSCacheDir.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libRSCpuRef.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libRSDriver.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libRS_internal.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libRScpp.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaal.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaal_cust.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaalservice.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaaudio.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaaudioservice.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaed.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libandroid.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libandroid_net.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libandroid_runtime.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libandroid_servers.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libandroidfw.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libappfuse.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libart-compiler.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libart-dexlayout.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libart.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudio-resampler.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudioclient.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiocompensationfilter.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiocomponentengine.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiocustparam.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiodcrflt.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudioeffect_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudioflinger.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiohal.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiomanager.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiopolicycustomextensions.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiopolicyenginedefault.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiopolicymanager.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiopolicymanagerdefault.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiopolicyservice.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudioprocessing.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiospdif.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudiotoolkit.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libaudioutils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbacktrace.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbase.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbcinfo.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbessound_hd_mtk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbinder.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libblas.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libblisrc.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libblisrc32.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbluetooth_mtk_pure_system.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbluetooth_relayer_system.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libbluetoothem_mtk_system.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libc++.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libc.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libc_malloc_debug.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcamera2ndk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcamera_client.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcamera_metadata.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcameraservice.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcap.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libchrome.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libclcore.bc ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libclcore_debug.bc ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libclcore_debug_g.bc ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libclcore_g.bc ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libclcore_neon.bc ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcompiler_rt.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcomutils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcrypto.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcurl.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcustom_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcustom_nvram_mtk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcustom_prop.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libcutils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdcfdecoderjni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdebuggerd_client.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdisp_dejitter.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdl.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdng_sdk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdoc_encrypt.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdpframework_mtk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdrmframework.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdrmframework_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdrmmtkutil.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libdrmmtkwhitelist.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libeffectsconfig.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_audio_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_bt_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_lte_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_sensor_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_support_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_usb_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libem_wifi_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libevent.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libexif.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libexpat.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libext2_blkid.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libext2_com_err.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libext2_e2p.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libext2_uuid.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libext2fs.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfile_op_mtk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfileobserver_jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfilterfw.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfilterpack_imageproc.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfmjni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfmq.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfreetype-jni.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libft2.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libfw_drmutils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgatekeeper.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libged_kpi.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libged_sys.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgetuiext2.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgralloc_extra_sys.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgraphics2d_ext.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgraphicsenv.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgui.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgui_debug.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libgui_ext.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhardware.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhardware_legacy.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libharfbuzz_ng.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libheif.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhidlbase.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhidlmemory.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhidltransport.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhwbinder.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhwm_mtk.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libhwui.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libicui18n.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libicuuc.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libimg_utils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libimsma.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libimsma_adapt.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libimsma_rtp.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libimsma_socketwrapper.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libinput.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libinputflinger.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libinputservice.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libion.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libion_mtk_sys.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libion_ulit_sys.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libiprouteutil.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libja3m.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libjavacore.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libjavacrypto.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libjni_pq.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libjni_stereoinfoaccessor.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libjnigraphics.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libjpeg.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libkeymaster_messages.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libkeymaster_portable.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libkeymaster_staging.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libkeystore_binder.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libksobsdiff.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libkwopdf.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libldacBT_abr.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libldacBT_enc.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/liblocSDK6c.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/liblog.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/liblz4.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/liblzma.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libm.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/libm4u_sys.so ext4 ro,seclabel,relatime,data=ordered 0 0
